chr	start	end	startCpG	endCpG	Mouth	Stomach	Small-intestine	Colon
chr8	143463390	143463895	13332379	13332405	0.03	0.95	0.96	0.96
chr17	80745417	80745634	23328631	23328637	0.03	0.95	0.95	0.96
chr22	25572098	25572419	26326467	26326474	0.02	0.94	0.96	0.95
chr15	41795101	41795305	20443731	20443755	0.02	0.93	0.96	0.97
chr17	39742623	39742886	22726227	22726235	0.03	0.96	0.97	0.96
chr16	81627036	81627462	22007766	22007784	0.02	0.95	0.95	0.94
chr17	35840955	35841318	22666776	22666784	0.03	0.96	0.97	0.94
chr7	134856455	134856682	11801214	11801225	0.02	0.94	0.96	0.96
chr2	114601198	114601429	3347028	3347035	0.02	0.94	0.95	0.94
chr16	11151023	11151373	21304694	21304705	0.03	0.96	0.97	0.96
chr16	81564192	81564554	22006586	22006603	0.02	0.95	0.95	0.95
chr19	15421867	15422090	24396341	24396349	0.04	0.96	0.97	0.97
chr11	19900936	19901139	16219245	16219251	0.02	0.95	0.97	0.94
chr12	52910937	52911519	17746546	17746557	0.03	0.96	0.96	0.96
chr10	1105825	1106154	14652746	14652755	0.01	0.94	0.95	0.94
chr10	123334495	123334952	15796109	15796117	0.01	0.91	0.97	0.96
chr6	168672638	168672860	10489811	10489825	0.02	0.94	0.95	0.95
chr1	26022449	26022692	450481	450486	0.01	0.92	0.95	0.95
chr16	47288447	47288985	21638016	21638024	0.04	0.97	0.98	0.96
chr18	6994057	6994556	23405218	23405225	0.01	0.93	0.95	0.95
chr5	116598027	116598265	8434367	8434372	0.04	0.97	0.94	0.96
chr21	17133906	17134281	25828968	25828974	0.94	0.01	0.00	0.01
chr6	139003856	139004095	10194229	10194241	0.01	0.93	0.93	0.95
chr12	12622436	12622788	17431068	17431074	0.03	0.95	0.96	0.95
chr15	51146757	51147171	20531363	20531368	0.02	0.92	0.97	0.96
chr4	3387493	3387961	6148292	6148309	0.02	0.94	0.94	0.95
chr6	76540913	76541218	9759235	9759240	0.02	0.95	0.95	0.95
chr8	22128412	22129125	12360852	12360864	0.02	0.95	0.94	0.95
chr5	126983341	126983610	8504821	8504827	0.02	0.95	0.95	0.93
chr12	121416669	121416921	18345722	18345738	0.93	0.01	0.01	0.01
chr18	21169169	21169436	23531356	23531361	0.02	0.94	0.97	0.93
chrX	6941280	6941502	26844159	26844164	0.02	0.95	0.97	0.94
chr16	89612213	89612495	22168119	22168129	0.94	0.01	0.01	0.02
chr5	127422642	127423334	8507874	8507879	0.97	0.05	0.05	0.04
chr3	42132721	42133105	4800965	4800975	0.03	0.94	0.97	0.96
chr18	21631140	21631352	23536289	23536294	0.95	0.01	0.02	0.03
chr16	74922200	74922691	21933574	21933583	0.03	0.95	0.97	0.96
chr14	76337616	76337893	19847400	19847405	0.95	0.03	0.03	0.03
chr11	12211213	12211536	16152510	16152516	0.03	0.95	0.96	0.95
chr7	128602311	128602568	11739592	11739603	0.03	0.95	0.97	0.97
chr18	42148221	42148731	23676729	23676735	0.02	0.94	0.96	0.94
chr20	10599387	10599819	25184283	25184289	0.02	0.93	0.96	0.96
chr3	189510319	189511268	5969140	5969151	0.02	0.96	0.94	0.95
chr7	22259631	22260071	10797209	10797214	0.03	0.94	0.98	0.96
chr7	70004695	70004940	11224230	11224238	0.03	0.96	0.97	0.95
chr15	71808426	71808741	20742309	20742314	0.03	0.96	0.94	0.94
chr6	47066590	47066841	9589564	9589569	0.02	0.93	0.94	0.96
chr14	89933195	89933422	19954820	19954827	0.04	0.96	0.96	0.97
chr11	16798244	16798523	16187252	16187260	0.03	0.95	0.97	0.96
chr15	69853509	69853723	20722291	20722299	0.95	0.01	0.07	0.02
chr2	43389151	43389423	2729404	2729415	0.94	0.02	0.00	0.01
chr9	98239782	98240183	14079997	14080009	0.03	0.94	0.97	0.96
chr12	50599427	50599905	17716038	17716050	0.02	0.94	0.94	0.95
chr1	115843164	115843379	1255770	1255775	0.02	0.93	0.94	0.95
chr22	26964057	26964272	26343405	26343412	0.02	0.91	0.97	0.96
chr1	3389810	3390067	92067	92078	0.03	0.96	0.97	0.95
chr18	55795975	55796445	23795055	23795065	0.93	0.00	0.01	0.01
chr10	114751679	114752133	15706937	15706951	0.03	0.95	0.95	0.96
chr7	148771778	148772121	11929827	11929833	0.02	0.93	0.96	0.95
chr18	10286875	10287195	23441685	23441690	0.02	0.95	0.95	0.94
chr4	153878629	153878888	7237476	7237483	0.94	0.01	0.01	0.02
chr16	89524822	89525203	22165570	22165581	0.03	0.96	0.97	0.95
chr8	100796301	100796955	12980304	12980317	0.03	0.95	0.96	0.95
chr7	55090396	55090708	11092100	11092106	0.02	0.95	0.96	0.94
chr2	28424397	28424764	2593021	2593027	0.04	0.96	0.97	0.96
chr15	31442847	31443152	20339777	20339784	0.02	0.93	0.96	0.96
chr2	109941233	109941474	3294960	3294967	0.01	0.93	0.93	0.94
chr10	123255784	123256135	15794938	15794943	0.03	0.95	0.96	0.97
chr16	1805111	1805421	21151193	21151201	0.01	0.93	0.95	0.93
chr17	18985030	18985247	22493812	22493823	0.01	0.94	0.94	0.93
chr12	6397359	6397762	17359411	17359416	0.02	0.96	0.97	0.91
chr3	59640364	59640566	5005213	5005219	0.02	0.94	0.93	0.95
chr15	31289788	31290120	20337932	20337943	0.05	0.97	0.97	0.97
chr15	78305584	78305808	20820647	20820652	0.96	0.03	0.02	0.04
chr5	174921295	174921580	8945068	8945077	0.03	0.96	0.97	0.91
chr17	43121720	43121931	22788048	22788057	0.02	0.96	0.94	0.94
chr11	120142682	120142926	17113715	17113721	0.02	0.95	0.95	0.93
chr11	61137001	61137430	16517994	16518000	0.02	0.95	0.93	0.95
chr9	100925060	100925501	14113589	14113601	0.02	0.95	0.90	0.95
chr16	12412123	12412350	21326200	21326209	0.02	0.93	0.95	0.95
chr7	5692480	5692793	10665478	10665486	0.03	0.95	0.96	0.95
chr5	73330891	73331121	8138101	8138107	0.04	0.96	0.97	0.96
chr16	30501269	30501536	21565057	21565064	0.03	0.95	0.94	0.96
chr17	39736241	39736452	22726144	22726149	0.02	0.93	0.93	0.95
chr2	224751989	224752221	4206923	4206928	0.02	0.94	0.96	0.94
chr17	4090091	4090549	22275673	22275684	0.02	0.95	0.93	0.95
chr20	25464941	25465300	25317571	25317580	0.02	0.94	0.95	0.94
chr21	37452560	37453169	25995086	25995091	0.03	0.93	0.97	0.97
chr19	3966588	3966843	24152585	24152595	0.93	0.01	0.01	0.01
chr5	168073432	168073670	8867357	8867362	0.02	0.93	0.95	0.96
chr3	16368520	16368807	4611045	4611051	0.02	0.92	0.96	0.96
chr13	74109511	74109824	18997859	18997865	0.04	0.96	0.98	0.97
chr1	207118935	207119517	1864567	1864574	0.94	0.02	0.02	0.01
chr10	4713604	4713836	14700630	14700636	0.02	0.93	0.97	0.95
chr6	2434392	2434651	9084221	9084227	0.02	0.94	0.96	0.94
chr10	35048491	35049107	15015401	15015410	0.02	0.93	0.95	0.96
chr17	4296804	4297187	22279034	22279044	0.01	0.94	0.92	0.93
chr10	105631938	105632296	15637500	15637507	0.01	0.93	0.95	0.93
chr1	10123633	10123915	208629	208637	0.03	0.94	0.95	0.95
chr4	86532759	86533399	6788614	6788622	0.05	0.97	0.98	0.96
chr2	150993239	150993673	3643966	3643972	0.03	0.95	0.96	0.96
chr8	123980019	123980284	13141698	13141703	0.04	0.97	0.97	0.96
chr1	220295338	220295723	1972546	1972553	0.94	0.02	0.01	0.03
chr2	3409219	3409442	2336073	2336078	0.03	0.95	0.98	0.94
chr15	100538866	100539247	21059428	21059437	0.02	0.93	0.95	0.95
chr1	6427657	6427938	142688	142694	0.02	0.93	0.96	0.94
chr9	32481614	32481863	13642515	13642525	0.05	0.97	0.98	0.96
chr9	140708598	140708901	14624916	14624931	0.02	0.94	0.96	0.94
chr5	453975	454280	7556718	7556730	0.02	0.94	0.96	0.93
chr17	39674709	39674956	22725256	22725262	0.03	0.95	0.95	0.95
chr3	111518920	111519133	5339975	5339980	0.02	0.93	0.94	0.95
chr13	99666271	99666566	19172438	19172443	0.02	0.94	0.94	0.95
chr16	87465878	87466086	22105843	22105848	0.04	0.96	0.94	0.97
chr3	189114704	189114980	5966788	5966793	0.98	0.11	0.01	0.02
chr11	34858489	34858756	16324498	16324503	0.01	0.94	0.92	0.93
chr6	33850199	33850599	9436193	9436199	0.03	0.94	0.95	0.97
chr5	13946246	13946490	7713220	7713227	0.03	0.96	0.94	0.96
chr14	23982625	23982954	19409263	19409273	0.04	0.96	0.96	0.95
chr6	138548443	138548672	10189376	10189382	0.93	0.01	0.01	0.01
chr17	19703018	19703715	22506167	22506172	0.04	0.97	0.96	0.95
chr16	22325796	22326229	21452234	21452247	0.03	0.95	0.95	0.95
chr17	2326358	2326836	22242585	22242595	0.02	0.92	0.96	0.95
chr17	5269140	5269473	22299453	22299458	0.03	0.96	0.95	0.94
chr9	21833558	21833813	13575897	13575904	0.01	0.93	0.95	0.93
chr2	37980889	37981178	2679109	2679116	0.94	0.03	0.01	0.02
chr10	62627106	62627337	15217313	15217321	0.02	0.95	0.93	0.94
chr10	101689400	101690239	15579441	15579453	0.94	0.02	0.01	0.02
chr1	32788392	32788632	549058	549064	0.96	0.04	0.05	0.02
chr11	10918231	10918501	16141465	16141473	0.02	0.95	0.92	0.94
chr10	129862101	129862363	15877396	15877403	0.03	0.95	0.96	0.97
chr11	36419596	36419922	16337855	16337863	0.03	0.93	0.97	0.96
chr16	29380898	29381279	21541903	21541913	0.02	0.94	0.95	0.94
chr4	7825214	7825456	6223334	6223342	0.93	0.01	0.01	0.02
chr7	55089194	55089652	11092083	11092088	0.03	0.95	0.96	0.95
chr8	28047701	28047996	12425185	12425193	0.01	0.92	0.96	0.94
chr1	209605401	209605796	1885140	1885151	0.02	0.94	0.94	0.94
chr13	49082299	49082503	18834773	18834779	0.03	0.94	0.96	0.96
chr14	64529596	64529884	19722512	19722518	0.03	0.94	0.93	0.97
chr2	42598810	42599013	2718692	2718699	0.04	0.97	0.95	0.96
chr7	32063025	32063249	10892213	10892219	0.03	0.95	0.97	0.94
chr2	110022886	110023093	3296189	3296195	0.02	0.92	0.95	0.96
chr15	90324925	90325163	20948332	20948342	0.03	0.95	0.95	0.95
chr17	28553869	28554077	22581242	22581250	0.02	0.92	0.96	0.96
chr15	100762360	100762647	21062484	21062494	0.02	0.93	0.94	0.94
chr5	55615389	55615679	7999955	7999970	0.03	0.95	0.95	0.94
chr1	232692672	232693093	2111018	2111027	0.94	0.02	0.01	0.02
chr15	52296893	52297263	20542104	20542111	0.02	0.95	0.92	0.93
chr2	43421155	43421833	2729921	2729932	0.93	0.01	0.01	0.01
chr2	9941824	9942229	2404290	2404302	0.01	0.92	0.92	0.95
chr3	120401058	120401312	5402107	5402112	0.93	0.01	0.01	0.01
chr16	11275049	11275480	21306543	21306554	0.04	0.95	0.96	0.96
chr1	60230650	60231266	850810	850816	0.02	0.95	0.94	0.94
chr15	101899243	101899513	21079481	21079489	0.02	0.94	0.94	0.94
chr2	225713778	225713987	4216199	4216208	0.02	0.93	0.94	0.96
chr6	131322358	131322721	10130936	10130944	0.03	0.94	0.95	0.96
chr2	158296603	158296859	3692937	3692943	0.96	0.02	0.05	0.06
chr16	30169969	30170296	21558108	21558126	0.03	0.94	0.96	0.95
chr5	175386852	175387102	8951051	8951059	0.04	0.96	0.96	0.97
chr1	41472866	41473324	660519	660532	0.04	0.96	0.96	0.96
chr10	96368436	96368732	15524976	15524981	0.02	0.94	0.96	0.94
chr4	183768703	183769138	7453403	7453414	0.02	0.94	0.93	0.93
chr9	7959197	7959528	13476047	13476052	0.05	0.97	0.97	0.97
chr21	43570257	43570497	26071757	26071767	0.03	0.95	0.96	0.96
chr5	131594766	131595195	8535977	8535995	0.01	0.92	0.92	0.95
chr16	1580532	1580824	21144464	21144482	0.03	0.94	0.95	0.96
chr9	97691673	97691905	14072685	14072694	0.02	0.90	0.98	0.95
chr1	228416281	228416515	2057913	2057918	0.05	0.96	0.98	0.97
chr2	28676730	28677100	2596449	2596460	0.03	0.94	0.95	0.95
chr16	87465366	87465600	22105829	22105840	0.05	0.96	0.96	0.97
chr20	18178127	18178521	25243440	25243447	0.04	0.97	0.96	0.94
chr3	126676076	126676444	5463595	5463610	0.03	0.94	0.95	0.96
chr17	20865006	20865356	22521025	22521032	0.01	0.91	0.94	0.95
chr18	9835941	9836145	23436594	23436603	0.02	0.92	0.95	0.95
chr6	144648208	144648528	10236397	10236403	0.02	0.93	0.94	0.95
chr12	33051893	33052279	17593690	17593695	0.95	0.05	0.01	0.01
chr17	70120541	70120863	23095178	23095188	0.93	0.01	0.01	0.02
chr3	132296697	132296931	5526773	5526778	0.01	0.90	0.94	0.95
chr12	52913531	52913958	17746575	17746592	0.02	0.95	0.94	0.92
chr7	45073616	45074001	11008787	11008793	0.04	0.97	0.96	0.95
chr8	125553043	125553268	13158179	13158187	0.04	0.95	0.97	0.95
chr10	77225094	77225326	15360864	15360869	0.03	0.96	0.94	0.92
chr2	23624392	23624622	2527224	2527230	0.03	0.93	0.96	0.96
chr14	36852969	36853201	19512642	19512649	0.03	0.93	0.95	0.97
chr12	2205317	2205517	17304579	17304584	0.03	0.93	0.97	0.96
chr21	33272806	33273209	25946437	25946448	0.93	0.01	0.01	0.01
chr9	124953792	124954018	14317114	14317123	0.04	0.96	0.96	0.95
chr1	117635821	117636152	1271720	1271727	0.01	0.90	0.97	0.95
chr16	87823925	87824140	22115261	22115266	0.03	0.95	0.93	0.95
chr20	49110027	49110307	25576125	25576130	0.04	0.95	0.95	0.96
chr22	24434480	24434940	26309207	26309214	0.04	0.94	0.98	0.96
chr12	116881739	116881993	18285907	18285914	0.04	0.94	0.96	0.96
chr7	42259157	42259578	10976774	10976783	0.02	0.95	0.90	0.94
chr13	27978663	27978943	18653304	18653314	0.93	0.01	0.01	0.02
chr1	24700219	24700447	430389	430397	0.01	0.93	0.92	0.94
chr2	174147838	174148599	3813035	3813045	0.04	0.96	0.96	0.94
chr3	11571524	11571838	4550725	4550736	0.02	0.90	0.97	0.96
chr6	7217614	7217839	9143748	9143757	0.01	0.90	0.96	0.95
chr2	25671839	25672174	2555598	2555603	0.96	0.02	0.02	0.08
chr8	128871990	128872426	13187335	13187349	0.01	0.92	0.94	0.94
chr17	48876544	48876821	22876348	22876355	0.02	0.92	0.94	0.95
chr9	134818665	134818870	14477758	14477766	0.05	0.97	0.98	0.97
chr15	70592562	70592795	20730604	20730609	0.94	0.01	0.02	0.05
chr16	27516824	27517606	21508907	21508921	0.03	0.94	0.95	0.95
chr10	121004744	121005015	15770704	15770711	0.03	0.95	0.95	0.93
chr2	136361238	136361473	3552484	3552491	0.02	0.94	0.95	0.94
chr2	120934340	120934837	3396467	3396475	0.01	0.91	0.94	0.95
chr16	84438956	84439252	22043023	22043033	0.03	0.96	0.96	0.93
chr11	126198505	126198709	17178169	17178178	0.04	0.95	0.95	0.96
chr10	73211693	73211900	15312502	15312513	0.03	0.94	0.95	0.96
chr15	69995980	69996243	20723753	20723759	0.02	0.93	0.96	0.95
chr10	76781763	76782022	15354197	15354204	0.94	0.01	0.05	0.01
chr1	201436697	201436943	1798100	1798105	0.01	0.90	0.95	0.94
chr10	44339188	44339503	15080683	15080688	0.02	0.95	0.93	0.93
chr5	16521107	16521548	7737330	7737335	0.93	0.02	0.00	0.01
chr3	14197705	14198655	4587293	4587310	0.04	0.97	0.96	0.95
chr2	15309972	15310335	2460843	2460850	0.03	0.93	0.96	0.95
chr18	60869307	60869521	23842815	23842822	0.04	0.95	0.97	0.97
chr11	120005017	120005779	17111702	17111719	0.02	0.94	0.94	0.94
chr1	117351467	117351702	1268807	1268815	0.03	0.94	0.94	0.95
chr1	61668936	61669345	860771	860777	0.05	0.97	0.97	0.97
chr2	113563184	113563465	3335533	3335544	0.02	0.95	0.92	0.93
chr15	100517183	100517542	21059026	21059034	0.02	0.91	0.93	0.96
chr17	70441235	70441440	23098740	23098745	0.95	0.06	0.01	0.02
